cell_angle	gene_angle	expression
-2.923034146882906	1.853238821029663	-0.57349384
-2.923034146882906	1.9198367595672607	-0.70685893
-2.923034146882906	1.980355978012085	-0.7551383
-2.923034146882906	2.0421578884124756	-0.7015825
-2.923034146882906	2.1045191287994385	-0.81753767
-2.923034146882906	2.1704089641571045	-0.76229715
-2.923034146882906	2.2266242504119873	-0.77252835
-2.923034146882906	2.297947645187378	-0.8660737
-2.923034146882906	2.358506441116333	-0.8732596
-2.923034146882906	2.4147870540618896	-0.7415407
-2.923034146882906	2.4859201908111572	-0.7514743
-2.923034146882906	2.5432288646698	-0.82152116
-2.923034146882906	2.606581449508667	-0.8577238
-2.923034146882906	2.670215368270874	-0.78244656
-2.923034146882906	2.731062650680542	-0.7524268
-2.923034146882906	2.7927157878875732	-0.952697
-2.923034146882906	2.8619792461395264	-0.8203099
-2.923034146882906	2.922391653060913	-0.81299806
-2.923034146882906	2.9931423664093018	-0.585416
-2.923034146882906	3.0448696613311768	-0.79588145
-2.923034146882906	3.10886549949646	-0.73005885
-2.8587906120383835	-3.109478712081909	-0.6512789
-2.8587906120383835	-3.0473597049713135	-0.64319485
-2.8587906120383835	-2.985633373260498	-0.57475936
-2.8587906120383835	-2.9224565029144287	-0.5039063
-2.8587906120383835	-2.856133222579956	-0.5719359
-2.8587906120383835	-2.797699213027954	-0.52521867
-2.8587906120383835	-2.7291858196258545	-0.49800083
-2.8587906120383835	-2.6618740558624268	-0.43903184
-2.8587906120383835	-2.602829933166504	-0.49659896
-2.8587906120383835	-2.5442583560943604	-0.47157642
-2.8587906120383835	-2.4804086685180664	-0.36585575
-2.8587906120383835	-2.415600299835205	-0.40519828
-2.8587906120383835	-2.3584494590759277	-0.22836599
-2.8587906120383835	-2.2947964668273926	-0.3006899
-2.8587906120383835	-2.2297050952911377	-0.25261495
-2.8587906120383835	-2.168456792831421	-0.17264237
-2.8587906120383835	-2.101581573486328	-0.10556117
-2.8587906120383835	-2.0458967685699463	-0.20704415
-2.8587906120383835	-1.9777483940124512	-0.14529158
-2.8587906120383835	-1.9128226041793823	-0.08423075
-2.8587906120383835	-1.8519814014434814	-0.049849525
-2.8587906120383835	-1.7941845655441284	-0.0068491404
-2.8587906120383835	-1.7273229360580444	-0.17323712
-2.8587906120383835	-1.6651979684829712	-0.07773356
-2.8587906120383835	-1.6075050830841064	0.06684741
-2.8587906120383835	-1.5443035364151	0.05253357
-2.8587906120383835	-1.4727277755737305	0.11821666
-2.8587906120383835	-1.4139424562454224	0.14293116
-2.8587906120383835	-1.3455209732055664	0.23060417
-2.8587906120383835	-1.2895607948303223	0.16295715
-2.8587906120383835	-1.221773386001587	0.2130974
-2.8587906120383835	-1.164669156074524	0.23663399
-2.8587906120383835	-1.099971055984497	0.22690219
-2.8587906120383835	-1.0343983173370361	0.43500066
-2.8587906120383835	-0.9739236831665039	0.27474368
-2.8587906120383835	-0.9119856357574463	0.32561648
-2.8587906120383835	-0.8440308570861816	0.36279958
-2.8587906120383835	-0.7903368473052979	0.32950148
-2.8587906120383835	-0.7244436740875244	0.3660894
-2.8587906120383835	-0.6612889766693115	0.43036854
-2.8587906120383835	-0.595792293548584	0.3849984
-2.8587906120383835	-0.5361325740814209	0.4892046
-2.8587906120383835	-0.47090935707092285	0.5267304
-2.8587906120383835	-0.4109535217285156	0.42655632
-2.8587906120383835	-0.34644317626953125	0.45526445
-2.8587906120383835	-0.2832071781158447	0.42919812
-2.8587906120383835	-0.21805453300476074	0.5244556
-2.8587906120383835	-0.1574387550354004	0.40593973
-2.8587906120383835	-0.08918452262878418	0.64727366
-2.8587906120383835	-0.028408050537109375	0.56318367
-2.8587906120383835	0.024336814880371094	0.5672205
-2.8587906120383835	0.09090685844421387	0.44977084
-2.8587906120383835	0.15960693359375	0.47991577
-2.8587906120383835	0.22107338905334473	0.5193509
-2.8587906120383835	0.2856314182281494	0.5193423
-2.8587906120383835	0.3498544692993164	0.54109913
-2.8587906120383835	0.4086422920227051	0.3717676
-2.8587906120383835	0.47290992736816406	0.31422442
-2.8587906120383835	0.5360541343688965	0.3434938
-2.8587906120383835	0.5956895351409912	0.37651742
-2.8587906120383835	0.6555202007293701	0.2659956
-2.8587906120383835	0.7196800708770752	0.29329523
-2.8587906120383835	0.7912805080413818	0.20447741
-2.8587906120383835	0.84893798828125	0.24442342
-2.8587906120383835	0.9053328037261963	0.123965696
-2.8587906120383835	0.9757659435272217	0.20889905
-2.8587906120383835	1.0212981700897217	0.078973405
-2.8587906120383835	1.099482774734497	0.13813965
-2.8587906120383835	1.1618053913116455	-0.008036149
-2.8587906120383835	1.226590871810913	-0.057784077
-2.8587906120383835	1.294706106185913	-0.18515392
-2.8587906120383835	1.3497602939605713	-0.1935604
-2.8587906120383835	1.414992094039917	-0.25535494
-2.8587906120383835	1.4737060070037842	-0.35455734
-2.8587906120383835	1.542611837387085	-0.39127016
-2.8587906120383835	1.6040899753570557	-0.410418
-2.8587906120383835	1.6686322689056396	-0.43777153
-2.8587906120383835	1.728276014328003	-0.49011374
-2.8587906120383835	1.7889163494110107	-0.4247016
-2.8587906120383835	1.853238821029663	-0.50772214
-2.8587906120383835	1.9198367595672607	-0.5910664
-2.8587906120383835	1.980355978012085	-0.7012414
-2.8587906120383835	2.0421578884124756	-0.6168789
-2.8587906120383835	2.1045191287994385	-0.7452519
-2.8587906120383835	2.1704089641571045	-0.6815535
-2.8587906120383835	2.2266242504119873	-0.75566226
-2.8587906120383835	2.297947645187378	-0.8435092
-2.8587906120383835	2.358506441116333	-0.79884654
-2.8587906120383835	2.4147870540618896	-0.6835814
-2.8587906120383835	2.4859201908111572	-0.7699013
-2.8587906120383835	2.5432288646698	-0.8877201
-2.8587906120383835	2.606581449508667	-0.8308873
-2.8587906120383835	2.670215368270874	-0.75715464
-2.8587906120383835	2.731062650680542	-0.7307924
-2.8587906120383835	2.7927157878875732	-1.0023037
