	N	D	A
442	3070	-1.3138486563021035	1.1633551
443	3070	-1.3123812966480441	0.6335194
444	3070	-1.3087507997917835	-0.6523135
445	3070	-1.30522588785528	0.7862663
446	3070	-1.3011568074861826	0.099659204
447	3070	-1.2997977400575154	-0.10555148
448	3070	-1.299470156075705	0.10957909
449	3070	-1.2991588159277034	0.23554444
450	3070	-1.2956420259081043	1.2142289
451	3070	-1.2953631734277204	0.84983444
452	3070	-1.294328982675229	1.3369434
453	3070	-1.293080914777588	1.3666885
454	3070	-1.2910017040500652	1.3840811
455	3070	-1.285635824281901	1.1833179
456	3070	-1.2836540765572308	0.66858864
457	3070	-1.2828879090625835	2.870712
458	3070	-1.2799910920333524	1.4623377
459	3070	-1.2695896237844688	0.28180432
460	3070	-1.267136804879344	0.28994584
461	3070	-1.2634169669371356	1.7589757
462	3070	-1.2599516157245971	2.0536926
463	3070	-1.2575529429321683	0.6189718
464	3070	-1.2511961893016688	1.245198
465	3070	-1.2493768799150866	0.37494922
466	3070	-1.2490899055177982	0.6665907
467	3070	-1.2463365756872113	1.7162249
468	3070	-1.2425382258815936	2.1280372
469	3070	-1.2338558967108049	2.0125287
470	3070	-1.233284655221863	1.3666418
471	3070	-1.2277969467001324	1.9652164
472	3070	-1.2251302506498591	1.5544236
473	3070	-1.22498947075685	1.6861174
474	3070	-1.2208933173314045	1.0465677
475	3070	-1.2203220758424627	1.2554061
476	3070	-1.219006325303952	2.1476786
477	3070	-1.217140991721578	2.2138855
478	3070	-1.2131287647708113	0.087524176
479	3070	-1.2073676183799669	1.1338937
480	3070	-1.2071077170390265	-1.8938208
481	3070	-1.205645771996237	1.7519772
482	3070	-1.2028112229966064	1.1398599
483	3070	-1.1961404219124703	1.4682391
484	3070	-1.1936145057552063	-3.0879178
485	3070	-1.1895535473030132	2.1489317
486	3070	-1.1862370979003891	1.6452758
487	3070	-1.182176139448196	0.4678805
488	3070	-1.1814208011760878	1.4200275
489	3070	-1.1785293987581267	1.7856934
490	3070	-1.1753131196639899	1.6258523
491	3070	-1.1707946265595164	1.0057476
492	3070	-1.1653664787617517	1.176307
493	3070	-1.1563755167485963	1.176451
494	3070	-1.1530563600403372	1.3721097
495	3070	-1.1466589968253156	0.43953896
496	3070	-1.1463801443449315	1.9490368
497	3070	-1.145768293271468	0.8832109
498	3070	-1.1431043045268292	2.1743133
499	3070	-1.1354805318592454	2.2219331
500	3070	-1.1338047096713075	2.19863
501	3070	-1.1325837148300146	2.274439
502	3070	-1.1298330923050623	-2.9015994
503	3070	-1.1269064949138485	2.307463
504	3070	-1.123449265618215	0.5239577
505	3070	-1.1202925472480434	1.2433426
506	3070	-1.1013224566650326	0.46728683
507	3070	-1.0978273250905115	0.9954107
508	3070	-1.0943863396286866	1.675679
509	3070	-1.0758142229739907	0.0005171299
510	3070	-1.0743983021269923	1.8884151
511	3070	-1.0688374963531229	1.5428097
512	3070	-1.065049975770044	2.4314945
513	3070	-1.0640103704062827	2.103978
514	3070	-1.0617795505632115	2.387788
515	3070	-1.0591101472073028	2.5506089
516	3070	-1.0556285521609565	2.0988357
517	3070	-1.0491120674980041	1.5866034
518	3070	-1.048421704561131	0.7771504
519	3070	-1.045416595306508	2.12932
520	3070	-1.0436649685607953	2.0239809
521	3070	-1.0403485191581714	2.1308177
522	3070	-1.0324486013158385	1.7367108
523	3070	-1.025637020338693	2.9089944
524	3070	-1.0105546206472482	1.9338949
525	3070	-1.006287906966811	2.2156541
526	3070	-1.001972461784947	1.8410995
527	3070	-0.9993761556811784	1.4207804
528	3070	-0.9990296205599245	-0.14443827
529	3070	-0.9944515667314855	0.99622273
530	3070	-0.9935798143170813	1.3115985
531	3070	-0.9886200303941362	2.6916783
532	3070	-0.9848000221434399	2.9264452
533	3070	-0.9818382297789738	0.36846924
534	3070	-0.9775850526267105	2.989013
535	3070	-0.9718970034880052	2.9295948
536	3070	-0.9654048845757659	2.413839
537	3070	-0.9610569517262846	1.4908917
538	3070	-0.9598115911342786	1.5706031
539	3070	-0.9572721384488405	1.6439068
540	3070	-0.9562406550019835	2.2261012
541	3070	-0.9514947482241873	2.2744224
542	3070	-0.9474771066621512	2.8650148
543	3070	-0.9438168294439078	2.999912
544	3070	-0.9408794028301548	2.8859627
545	3070	-0.9373165886147641	2.8836858
546	3070	-0.9339568223219832	2.776858
547	3070	-0.9309219327053775	2.9071262
548	3070	-0.926947608033498	-3.0770931
549	3070	-0.9244514722382164	3.0860875
550	3070	-0.9222125304782405	3.133477
551	3070	-0.9186307651234062	-2.9908087
552	3070	-0.9152412184686427	2.0173647
553	3070	-0.9121332315998978	1.6239555
554	3070	-0.9105792381655253	1.53181
555	3070	-0.903093538085316	2.2457922
556	3070	-0.9009222789662101	1.8616765
557	3070	-0.8988836778232088	2.2331197
558	3070	-0.8972051483296357	2.0255487
559	3070	-0.8965960045618071	0.89469457
560	3070	-0.8904233477144738	1.5847738
561	3070	-0.8867008024666299	0.7484803
562	3070	-0.8825153079552361	1.5447462
563	3070	-0.8822770650593741	2.941911
564	3070	-0.8807934615715065	1.9716403
565	3070	-0.8746478777805211	0.6357348
566	3070	-0.8731832254320966	1.6390488
567	3070	-0.8706789677199112	2.7983243
568	3070	-0.8634288032299291	3.0878966
569	3070	-0.8574267066375874	3.036514
570	3070	-0.8474015538719404	2.2848594
571	3070	-0.8398941953466528	2.1476367
572	3070	-0.8366616724187073	2.5969088
573	3070	-0.8342738288488176	1.6739409
574	3070	-0.8330474193962556	1.4451025
575	3070	-0.8325980066608794	0.90254855
576	3070	-0.8213843467215574	2.1877992
577	3070	-0.8208266417607892	1.9172747
578	3070	-0.8174722900792775	2.0186002
579	3070	-0.8171771937650849	2.0986245
580	3070	-0.814678350664169	2.8959587
581	3070	-0.8123094582337229	2.367152
582	3070	-0.8109449761937859	1.7680838
583	3070	-0.8065780922048611	1.2018082
584	3070	-0.8058362904609275	-1.4246697
585	3070	-0.8008900430661563	2.0642674
586	3070	-0.7987079547245108	1.7393343
587	3070	-0.7950476775062674	0.7916107
588	3070	-0.7829378994018281	1.0929396
589	3070	-0.7808397375348619	2.6863182
590	3070	-0.7789933550919312	2.661101
591	3070	-0.77669485260799	1.8767221
592	3070	-0.7729208685530851	1.541631
593	3070	-0.7702514651971768	2.2487628
594	3070	-0.7689194708248572	2.6653912
595	3070	-0.766531627254968	1.4672496
596	3070	-0.7650561456840048	1.2479174
597	3070	-0.7648558050670298	1.8657992
598	3070	-0.7577491277756923	2.2700794
599	3070	-0.7502932080574656	1.5122874
600	3070	-0.7440826489312449	1.773886
601	3070	-0.7419249263403129	2.1676452
602	3070	-0.7395235462422494	2.8835719
603	3070	-0.7302645609712495	2.319256
604	3070	-0.7296554172034204	2.2645285
605	3070	-0.725743360561141	2.5825045
606	3070	-0.7255863368343229	1.649421
607	3070	-0.7228411289206407	2.2072756
608	3070	-0.7205724067986821	2.0553544
609	3070	-0.7187016586050383	2.322776
610	3070	-0.7184742449317154	1.8626897
611	3070	-0.7140153125512074	1.6211431
612	3070	-0.7097404769538658	2.9976466
613	3070	-0.7053221541578796	1.5236008
614	3070	-0.7026852384695892	-2.6402388
615	3070	-0.7003082241222387	-2.6443539
616	3070	-0.6929903769913865	2.6353815
617	3070	-0.6906729233680022	2.9179747
618	3070	-0.6901152184072341	1.8138502
619	3070	-0.6896766348943975	2.0863912
620	3070	-0.6870153534553936	1.9559119
621	3070	-0.6843134624318679	2.520869
622	3070	-0.6815601326012808	2.3065064
623	3070	-0.6798030912442985	2.3814223
624	3070	-0.6760615948570114	1.9291046
625	3070	-0.6739661402956796	2.3096964
626	3070	-0.6716134916990426	2.495856
627	3070	-0.6678719953117556	2.8590143
628	3070	-0.6609575367204883	-2.9972622
629	3070	-0.6596336642650731	-3.0545042
630	3070	-0.6565744088977543	-3.0946157
631	3070	-0.6553317556113836	2.89866
632	3070	-0.6531983987711647	2.503382
633	3070	-0.6500985338193237	2.688566
634	3070	-0.6483848093524984	-3.0958216
635	3070	-0.6389227761588887	3.0568402
636	3070	-0.636058446797275	2.7423952
637	3070	-0.630107789011995	2.5667326
638	3070	-0.6288786722537978	1.8511436
639	3070	-0.6245442759324904	1.2021539
640	3070	-0.6240217659449749	1.7274787
641	3070	-0.6235723532095991	2.3599913
642	3070	-0.6221049935555398	1.4876144
643	3070	-0.6209246082987687	1.5340645
644	3070	-0.6162301403280339	1.5130713
645	3070	-0.6114327947431764	2.7973416
646	3070	-0.6092155114282791	1.9456799
647	3070	-0.608129881868726	2.207587
648	3070	-0.6056039657114618	3.100815
649	3070	-0.6037278029065485	2.793834
650	3070	-0.6009555219365184	2.178764
651	3070	-0.6004465484771768	2.39136
652	3070	-0.5932261643491779	2.6946752
653	3070	-0.5832984745863832	1.9209402
654	3070	-0.5786581527283436	2.6772149
655	3070	-0.5780056920703585	2.4053347
656	3070	-0.5758290183399826	2.3982694
657	3070	-0.5703358952069828	2.124841
658	3070	-0.5680969534470068	2.8023837
659	3070	-0.5680049050554237	2.0947788
660	3070	-0.5647940405725569	3.0941603
661	3070	-0.5646180657062949	-1.952078
